Название,Цена,Максимальная цена,Минимальная цена,Изменение,Время проверки,Ссылка
Система,"9,685","9,836","9,640","-0,055",18:45:14,https://ru.investing.com/equities/afk-sistema_rts
Аэрофлот,"100,04","100,38","99,36","-0,08",18:49:53,https://ru.investing.com/equities/aeroflot
Башнефть,"1.970,5","1.989,5","1.962,0","+11,5",18:39:52,https://ru.investing.com/equities/bashneft_rts
ФСК ЕЭС ОАО,"0,1690","0,1737","0,1680","-0,0007",18:48:38,https://ru.investing.com/equities/fsk-ees_rts
Норильский никель,"14.594,0","14.606,0","14.140,0","+472,0",18:49:26,https://ru.investing.com/equities/gmk-noril-nickel_rts
Газпром,"154,60","155,37","153,56","-0,04",18:49:55,https://ru.investing.com/equities/gazprom_rts
ЛУКОЙЛ,"5.533,0","5.587,5","5.496,5","+6,0",18:49:12,https://ru.investing.com/equities/lukoil_rts
ММК ОАО,"44,695","44,800","43,725","+0,895",18:48:40,https://ru.investing.com/equities/mmk_rts
МТС,"250,90","251,70","249,30","+1,85",18:48:49,https://ru.investing.com/equities/mts_rts
М.видео,"403,60","407,10","402,10","-0,40",18:39:00,https://ru.investing.com/equities/mvideo_rts
Магнит,"3.922,5","3.992,5","3.911,0","-40,0",18:49:46,https://ru.investing.com/equities/magnit_rts
Мосэнерго,"2,1000","2,1095","2,0855","+0,0050",18:45:14,https://ru.investing.com/equities/mosenergo_rts
НЛМК ОАО,"159,44","160,56","158,06","+0,94",18:47:41,https://ru.investing.com/equities/nlmk_rts
НМТП ОАО,"7,5050","7,5400","7,4000","+0,0050",17:46:24,https://ru.investing.com/equities/nmtp_rts
НОВАТЭК,"1.121,20","1.133,60","1.113,40","-7,80",18:49:11,https://ru.investing.com/equities/novatek_rts
Полюс,"5.373,0","5.376,5","5.319,0","+13,0",18:48:54,https://ru.investing.com/equities/polyus-zoloto_rts
Роснефть,"396,50","404,15","395,15","-5,00",18:49:31,https://ru.investing.com/equities/rosneft_rts
Мечел,"77,83","78,48","77,51","-0,21",18:48:54,https://ru.investing.com/equities/sg-mechel_rts
Сбербанк,"205,86","208,60","204,20","+0,61",18:49:59,https://ru.investing.com/equities/sberbank_rts
Сбербанк (прив.),"177,46","179,39","176,25","+0,47",18:48:06,https://ru.investing.com/equities/sberbank-p_rts
Северсталь,"1.029,80","1.029,80","1.002,00","+28,20",18:48:02,https://ru.investing.com/equities/severstal_rts
Сургутнефтегаз,"26,400","26,600","26,305","-0,075",18:49:21,https://ru.investing.com/equities/surgutneftegas_rts
Сургутнефтегаз (прив.),"40,385","40,485","40,150","+0,135",18:49:11,https://ru.investing.com/equities/surgutneftegas-p_rts
Татнефть,"787,10","800,00","783,00","-12,80",18:49:34,https://ru.investing.com/equities/tatneft_rts
Транснефть (прив.),169.900,171.150,168.300,-1.000,18:45:00,https://ru.investing.com/equities/transneft-p_rts
Уралкалий,"85,02","85,48","82,60","+3,50",18:49:17,https://ru.investing.com/equities/uralkaliy_rts
Банк ВТБ,"0,0362","0,0364","0,0359","0,0002",18:49:34,https://ru.investing.com/equities/vtb_rts
Татнефть (прив.),"558,80","565,00","556,00","-4,20",18:46:24,https://ru.investing.com/equities/tatneft-p_rts
Интер РАО ЕЭС ОАО,"3,8800","3,8985","3,8625","+0,0150",18:45:12,https://ru.investing.com/equities/inter-rao-ees_mm
РусГидро,"0,5111","0,5184","0,5070","+0,0040",18:49:53,https://ru.investing.com/equities/gidroogk-011d
Газпром нефть,"334,85","337,00","334,00","-1,05",18:49:34,https://ru.investing.com/equities/gazprom-neft_rts
МОСТОТРЕСТ,"88,85","89,90","87,20","-0,20",18:46:24,https://ru.investing.com/equities/mostotrest_rts
Башнефть (прив.),"1.872,0","1.886,0","1.865,5","-12,0",18:45:15,https://ru.investing.com/equities/bashneft-(pref)
Юнипро,"2,7430","2,7490","2,6860","+0,0330",18:46:24,https://ru.investing.com/equities/e.on-russia
Россети,"1,0170","1,0417","1,0153","-0,0110",18:48:18,https://ru.investing.com/equities/rosseti-ao
ФосАгро,"2.540,0","2.540,0","2.519,0","+10,0",18:49:32,https://ru.investing.com/equities/phosagro
Распадская,"151,520","155,720","148,700","-0,880",18:48:36,https://ru.investing.com/equities/raspadskaya
Ростелеком,"72,90","73,33","72,70","-0,10",18:46:24,https://ru.investing.com/equities/rostelecom
Ростелеком (прив.),"60,40","60,50","60,25","+0,15",18:46:24,https://ru.investing.com/equities/rostelecom-(pref)
ТМК ОАО ,"48,18","48,90","48,16","-0,62",18:46:24,https://ru.investing.com/equities/tmk
АК АЛРОСА,"96,250","96,250","95,230","+0,780",18:48:02,https://ru.investing.com/equities/alrosa-ao
МегаФон ОАО,"651,40","652,00","651,20","0,00",18:45:18,https://ru.investing.com/equities/megafon-oao
Московская биржа,"89,67","90,15","89,32","+0,17",18:49:01,https://ru.investing.com/equities/moskovskaya-birzha-oao
Яндекс,"2.214,60","2.235,00","2.180,20","+81,60",18:49:55,https://ru.investing.com/equities/yandex?cid=102063
Росгосстрах,"0,1470","0,1520","0,1450","-0,0008",18:38:36,https://ru.investing.com/equities/rosgosstrakh-oao
НПК ОВК,"494,4","537,9","490,0","0,0",18:39:25,https://ru.investing.com/equities/npk-ovk-pao
МКБ,"5,450","5,503","5,432","-0,011",18:45:19,https://ru.investing.com/equities/moskovskiy-kreditnyi-bank-oao
